Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
78,manager satisfied customer great customer service,4 stars,0,0.37768206,"Bad service, wrong orders, rude staff",4,positive
79,drive,1 star,4,0.583331,"Long wait times, slow drive-thru",1,negative
80,star evening manager nice person training crew new help everytime return order kitchen sandwich proper way sandwich cherry disposition child respect thing star,4 stars,0,0.48228824,"Bad service, wrong orders, rude staff",4,positive
81,staff kind food timely manner reason preferred location thru line long time block entrance,4 stars,4,0.49322817,"Long wait times, slow drive-thru",4,positive
82,awful experience attendant untrained unprofessional manager attendant duty fyi impossible shift manager specific attendant contact corporate,1 star,0,0.45123944,"Bad service, wrong orders, rude staff",1,negative
83,decent location team friendly drive thru normal meal period sure close regular meal period fresh food one heat lamp store clean,3 stars,1,0.4969955,"Fast and quick service, clean place, friendly staff",3,neutral
84,hashbrown fire today frappe machine work time fast worker,5 stars,0,0.45466384,"Bad service, wrong orders, rude staff",5,positive
85,order day issue hour location show uber late night order midnight order hour list hour location order midnight place great service,3 stars,4,0.83609605,"Long wait times, slow drive-thru",3,neutral
86,happy meal plain cheeseburger burger grandkid,1 star,3,0.7382299,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
87,fast food company food company line robot replace kitchen staff hate job,1 star,1,0.603281,"Fast and quick service, clean place, friendly staff",1,negative
88,mcdonald order wrong window uber single time complete order today fry chicken sandwich fry complicated manager new girl oick window bag hand ked rude face,1 star,0,0.51416343,"Bad service, wrong orders, rude staff",1,negative
89,night time team unprofessional meal extra fry food window fry meal extra fry fry pay difference extra fry order response,1 star,3,0.5483503,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
90,3rd time row drive time messed order d lesson thought easy location suck number receipt answer,1 star,0,0.40141127,"Bad service, wrong orders, rude staff",1,negative
91,bad experience regular size coffeei window small woman time many size coffee small medium large holding small regular medium drove splendas creamer side regular sugar creamer top coffee full coffee ground little piece plastic,1 star,3,0.6868006,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
92,go hour order twice case employee kitchen attention bad business opening least sign,1 star,4,0.5917569,"Long wait times, slow drive-thru",1,negative
93,place kiosk order number food table frozen lemonade bit regular drink much trouble refund difference sure new way,3 stars,0,0.45994422,"Bad service, wrong orders, rude staff",3,neutral
94,burger raw middle burger stuck brat raw burger ability star rating,1 star,3,0.7220712,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
95,negative star single time order attitude correct mistake benefit doubt offbad day thinking time different staff horrible corporate need staff week chicfila college work ethic time management teamwork basic manor chicfila car order right first time min mcdonald car min try order logical sense moral rant time money corner chicfila,1 star,0,0.5658555,"Bad service, wrong orders, rude staff",1,negative
